ID Polygon,Musigma,X1,Y1,Z1,Y2,Z2,X2,X3,Y3,Z3
42,0.0,110.9546276473,31,-1.17179e-05,30.7079861948,-1.17524e-05,110.9449870834,110.8949862888,30.6999440961,-1.17477e-05
43,0.0,110.9663447435,31,-1.17198e-05,30.7098687008,-1.17533e-05,110.9567098292,110.9300292693,30.7055825429,-1.17514e-05
44,12.8257799149,110.6260033548,31,-1.17011e-05,30.6869432069,-1.17365e-05,110.6162047464,110.563467358,30.6783240633,-1.17328e-05
45,4.27566576,110.662620435,31,-1.17049e-05,30.6929171457,-1.17412e-05,110.652839561,110.6004363904,30.6843685029,-1.17365e-05
46,4.27566576,110.6990111025,31,-1.17095e-05,30.6988431991,-1.17468e-05,110.6892478452,110.6371701183,30.6903633248,-1.17403e-05
47,6.8049736023,110.7351811951,31,-1.17142e-05,30.7047225202,-1.17496e-05,110.7254354402,110.6736747385,30.6963097525,-1.1744e-05
48,11.5504608154,110.7711363184,31,-1.1717e-05,30.7105562164,-1.17542e-05,110.7614079547,110.7099561959,30.7022089596,-1.17477e-05
49,4.5995707512,110.806881858,31,-1.17226e-05,30.7163453513,-1.1757e-05,110.7971707775,110.7460201972,30.7080620727,-1.17514e-05
50,4.7984585762,110.8424229918,31,-1.17254e-05,30.722090948,-1.17617e-05,110.8327290892,110.7818722238,30.713870174,-1.17561e-05
51,6.545645237,110.8777647004,31,-1.173e-05,30.72779399,-1.17673e-05,110.8680878734,110.8175175443,30.7196343035,-1.17607e-05
52,0.0,110.9129117778,31,-1.17337e-05,30.7334554245,-1.17691e-05,110.9032519268,110.8529612254,30.7253554616,-1.17654e-05
53,0.0,110.9478688405,31,-1.17375e-05,30.7390761632,-1.17738e-05,110.9382258684,110.8882081427,30.7310346107,-1.17691e-05
54,0.0,110.9595898964,31,-1.17412e-05,30.7409585372,-1.17766e-05,110.9499525826,110.92326299,30.7366726775,-1.17728e-05
55,3.5979018211,110.6191337773,31,-1.17235e-05,30.7180359459,-1.17589e-05,110.609332513,110.5565771811,30.7094171896,-1.17542e-05
56,4.27566576,110.6557632873,31,-1.17263e-05,30.7240095975,-1.17626e-05,110.6459797849,110.5935587932,30.715461361,-1.17579e-05
57,4.27566576,110.6921663021,31,-1.17319e-05,30.7299353507,-1.17673e-05,110.6824004439,110.6303050146,30.7214559013,-1.17617e-05
58,6.8049736023,110.7283486619,31,-1.17347e-05,30.735814359,-1.17719e-05,110.7186003332,110.6668220447,30.7274020343,-1.17645e-05
59,11.5504608154,110.7643159744,31,-1.17393e-05,30.7416477299,-1.17756e-05,110.754585064,110.7031158306,30.733300934,-1.17701e-05
60,11.5504608154,110.8000736275,31,-1.1743e-05,30.7474365276,-1.17812e-05,110.7903600271,110.7391920813,30.7391537271,-1.17747e-05
61,5.4265789986,110.835626801,31,-1.17468e-05,30.753181775,-1.17831e-05,110.8259304052,110.7750562806,30.7449614962,-1.17784e-05
