Point,Musigma,velocity,Coherence,Hcorr,range,azimuth,X,Y,Z
138,6.1269302368,0.8610466123,0.7110205889,-8.0605516434,9668.0,3293.0,110.7250723153,30.9523550328,336.9269309035
139,8.1087598801,-0.4733810425,0.6860149503,-17.3056106567,10353.0,3239.0,110.7397381262,30.9477968836,246.5181278149
140,5.8373746872,0.0,0.9855872393,0.0,13657.0,3150.0,110.8149208709,30.9484869716,449.7023458965
141,4.6344370842,2.3404502869,0.6368391514,-22.2494659424,14099.0,3006.0,110.8261606555,30.9318323505,319.1803180482
142,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
143,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
144,8.9016666412,0.0,0.9939267039,0.0,4033.0,3388.0,110.6036578263,30.944886223,483.6441728119
145,10.3066825867,-1.3404960632,0.673645556,-4.455581665,5975.0,3134.0,110.6534704404,30.9203769663,541.1805025823
146,6.2803549767,0.3601501584,0.9875639677,3.9614136219,7422.0,3290.0,110.6794771367,30.9446009028,487.5099339187
147,6.6808242798,-0.0900375396,0.9888251424,-0.9903534055,8208.0,3323.0,110.6928298198,30.9509952865,318.4508080976
148,6.6808242798,-0.0900375396,0.9888251424,-0.9903534055,8208.0,3323.0,110.6928298198,30.9509952865,318.4508080976
149,17.3700065613,0.0,0.8971179128,0.0,8584.0,3359.0,110.6994875307,30.956689194,292.2429235112
150,6.5742354393,-1.017074585,0.8242791891,8.2096176147,11199.0,3588.0,110.7491462533,30.9940691221,310.1666780943
151,8.7270545959,0.1058692932,0.712731421,-13.3991775513,11520.0,3595.0,110.7554448366,30.9959812603,289.7567273173
152,4.2041764259,0.3760604858,0.8788103461,6.68019104,13776.0,3181.0,110.8165007681,30.9527155441,444.5114793088
153,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
154,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
155,4.6463856697,-0.6383247375,0.4332548976,-6.5698814392,4549.0,3540.0,110.6076348299,30.9650370261,286.9704033965
156,10.7392539978,-0.7221137881,0.8709424734,-0.7570998669,6627.0,3330.0,110.6626223563,30.9470033753,572.3654088788
157,6.2803549767,0.3601501584,0.9875639677,3.9614136219,7422.0,3290.0,110.6794771367,30.9446009028,487.5099339187
158,17.3700065613,0.0,0.8971179128,0.0,8584.0,3359.0,110.6994875307,30.956689194,292.2429235112
159,17.3700065613,0.0,0.8971179128,0.0,8584.0,3359.0,110.6994875307,30.956689194,292.2429235112
160,8.8324737549,0.0,0.9936631918,2.28882e-05,10870.0,3665.0,110.7418535195,31.0027673498,428.1948992843
161,6.1672096252,-2.5635528564,0.7778631449,3.112197876,11169.0,3663.0,110.7468498589,31.0033167358,335.3351760469
162,7.2926111221,-1.5763626099,0.5945987701,-2.1483917236,11592.0,3861.0,110.74860717,31.028991519,214.0478333253
163,4.9491415024,-1.727268219,0.5461501479,-2.7975845337,14175.0,3342.0,110.82341716,30.9744656874,641.9843077799
164,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
165,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
166,4.7956566811,0.1459159851,0.4444297552,-11.9579849243,4739.0,3555.0,110.6105606897,30.9674369011,236.5786701124
167,7.9823756218,-0.6392774582,0.8469449282,2.2402808666,7466.0,4286.0,110.6542542884,31.0682825923,553.8060949594
168,12.1523580551,1.7678308487,0.7050227523,3.114205122,8174.0,4232.0,110.6694453302,31.0638100791,458.3980044993
169,9.952334404,0.7972192764,0.7781817913,1.4078681469,7875.0,4274.0,110.66297183,31.068151318,529.0030979523
170,9.952334404,0.7972192764,0.7781817913,1.4078681469,7875.0,4274.0,110.66297183,31.068151318,529.0030979523
171,7.5358748436,0.8177261353,0.6541371942,3.195274353,9069.0,3991.0,110.694164754,31.0368891502,393.9440207714
172,7.9229331017,-0.3317756653,0.6681767106,-3.7174682617,10416.0,3771.0,110.7302244444,31.0144866836,486.9518459793
173,4.5945010185,1.0914077759,0.601821661,3.7117233276,11313.0,3890.0,110.7435920365,31.031901719,326.1640660204
174,4.7795071602,0.0,0.9786603451,1.52588e-05,15170.0,4080.0,110.8224974486,31.0689303892,522.8972856654
175,1.9549136162,15.2963638306,0.2940300703,45.4928131104,15781.0,3415.0,110.8623976021,30.9900692642,1149.4711241545
176,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
177,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
178,5.2156543732,-0.0085051395,0.8480855227,-1.2238659859,7017.0,4334.0,110.6434236597,31.0726899663,561.6880186815
179,7.3787937164,1.0627839565,0.9071255922,-3.9497876167,7944.0,4385.0,110.6603516072,31.0819666008,458.8539336417
180,7.3787937164,1.0627839565,0.9071255922,-3.9497876167,7944.0,4385.0,110.6603516072,31.0819666008,458.8539336417
181,7.3787937164,1.0627839565,0.9071255922,-3.9497876167,7944.0,4385.0,110.6603516072,31.0819666008,458.8539336417
182,12.954079628,1.1400519609,0.6790691614,-0.4026603699,9549.0,4355.0,110.6958944341,31.0838503609,487.2837342964
183,6.0983934402,0.460773468,0.5904895067,2.3188552856,11539.0,4173.0,110.7420309998,31.0679388563,416.0998338908
184,6.0983934402,0.460773468,0.5904895067,2.3188552856,11539.0,4173.0,110.7420309998,31.0679388563,416.0998338908
185,6.7336034775,0.0,0.9891818762,-1.52588e-05,13646.0,4567.0,110.7755900045,31.1238458639,403.5928505389
186,5.2336182594,1.4321098328,0.5518120527,-2.6990280151,16467.0,4566.0,110.8315167489,31.1326759542,188.5953686573
187,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
188,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
189,9.6558132172,-1.7793718576,0.699883163,8.4316883087,6275.0,4508.0,110.6253022677,31.0920793581,730.9650778593
190,6.3201556206,0.0416924618,0.9875407815,-4.9263501167,7754.0,4422.0,110.656254288,31.0860502184,523.4288136531
191,6.3201556206,0.0416924618,0.9875407815,-4.9263501167,7754.0,4422.0,110.656254288,31.0860502184,523.4288136531
192,7.3787937164,1.0627839565,0.9071255922,-3.9497876167,7944.0,4385.0,110.6603516072,31.0819666008,458.8539336417
193,12.954079628,1.1400519609,0.6790691614,-0.4026603699,9549.0,4355.0,110.6958944341,31.0838503609,487.2837342964
194,6.0983934402,0.460773468,0.5904895067,2.3188552856,11539.0,4173.0,110.7420309998,31.0679388563,416.0998338908
195,6.7336034775,0.0,0.9891818762,-1.52588e-05,13646.0,4567.0,110.7755900045,31.1238458639,403.5928505389
196,6.7336034775,0.0,0.9891818762,-1.52588e-05,13646.0,4567.0,110.7755900045,31.1238458639,403.5928505389
197,5.2336182594,1.4321098328,0.5518120527,-2.6990280151,16467.0,4566.0,110.8315167489,31.1326759542,188.5953686573
198,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
199,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
200,9.6558132172,-1.7793718576,0.699883163,8.4316883087,6275.0,4508.0,110.6253022677,31.0920793581,730.9650778593
201,9.6558132172,-1.7793718576,0.699883163,8.4316883087,6275.0,4508.0,110.6253022677,31.0920793581,730.9650778593
202,9.10916996,-0.0083258506,0.9939438701,1.5259506702,8772.0,4548.0,110.6766011632,31.1054912709,655.0723147001
203,9.7141256332,0.0792061985,0.811855197,-1.9871563911,8349.0,4495.0,110.6673023101,31.0971957646,542.9640244395
204,9.10916996,-0.0083258506,0.9939438701,1.5259506702,8772.0,4548.0,110.6766011632,31.1054912709,655.0723147001
205,10.6624889374,-0.4137138128,0.9883300662,-2.9808247089,12731.0,5065.0,110.7412211896,31.1821826663,298.1378318844
206,15.7289628983,-0.9375633001,0.9723294973,-3.1215717793,12705.0,5062.0,110.7406955361,31.1817137617,294.2325322507
207,4.8996710777,-2.4286270142,0.7316374779,12.1313171387,13833.0,4533.0,110.7775008499,31.119795844,205.0183929605
208,3.3719584942,-1.9140701294,0.4305532575,1.5253295898,16248.0,4445.0,110.8345539286,31.1176483475,484.4197726781
209,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
210,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
